station_name,station_address,city,state,country,locationId,slug,sensor,used_sensorname,minValue,maxValue,avgValue,points
Long An TT van hoa huyen Can Giuoc,"Long An TT van hoa huyen Can Giuoc, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13670,vietnam/ho-chi-minh/ho-chi-minh-city/long-an-tt-van-hoa-huyen-can-giuoc,SO2,so2,6,30,15,30
Long An TT van hoa huyen Can Giuoc,"Long An TT van hoa huyen Can Giuoc, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13670,vietnam/ho-chi-minh/ho-chi-minh-city/long-an-tt-van-hoa-huyen-can-giuoc,NO2,no2,7,27,18,30
Long An TT van hoa huyen Can Giuoc,"Long An TT van hoa huyen Can Giuoc, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13670,vietnam/ho-chi-minh/ho-chi-minh-city/long-an-tt-van-hoa-huyen-can-giuoc,O3,o3,28,48,40,30
Long An TT van hoa huyen Can Giuoc,"Long An TT van hoa huyen Can Giuoc, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13670,vietnam/ho-chi-minh/ho-chi-minh-city/long-an-tt-van-hoa-huyen-can-giuoc,PM2.5,pm25,12,56,25,30
Long An TT van hoa huyen Can Giuoc,"Long An TT van hoa huyen Can Giuoc, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13670,vietnam/ho-chi-minh/ho-chi-minh-city/long-an-tt-van-hoa-huyen-can-giuoc,PM10,pm10,31,68,47,30
Long An TT van hoa huyen Can Giuoc,"Long An TT van hoa huyen Can Giuoc, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13670,vietnam/ho-chi-minh/ho-chi-minh-city/long-an-tt-van-hoa-huyen-can-giuoc,AQI,aqi,50,137,77,30
Long An xa Duc Lap Ha,"Long An xa Duc Lap Ha, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13669,vietnam/ho-chi-minh/ho-chi-minh-city/long-an-xa-duc-lap-ha,CO,co,282,641,412,30
Long An xa Duc Lap Ha,"Long An xa Duc Lap Ha, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13669,vietnam/ho-chi-minh/ho-chi-minh-city/long-an-xa-duc-lap-ha,SO2,so2,6,30,14,30
Long An xa Duc Lap Ha,"Long An xa Duc Lap Ha, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13669,vietnam/ho-chi-minh/ho-chi-minh-city/long-an-xa-duc-lap-ha,NO2,no2,5,24,16,30
Long An xa Duc Lap Ha,"Long An xa Duc Lap Ha, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13669,vietnam/ho-chi-minh/ho-chi-minh-city/long-an-xa-duc-lap-ha,O3,o3,29,49,42,30
Long An xa Duc Lap Ha,"Long An xa Duc Lap Ha, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13669,vietnam/ho-chi-minh/ho-chi-minh-city/long-an-xa-duc-lap-ha,PM2.5,pm25,10,37,22,30
Long An xa Duc Lap Ha,"Long An xa Duc Lap Ha, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13669,vietnam/ho-chi-minh/ho-chi-minh-city/long-an-xa-duc-lap-ha,PM10,pm10,39,70,52,30
Long An xa Duc Lap Ha,"Long An xa Duc Lap Ha, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13669,vietnam/ho-chi-minh/ho-chi-minh-city/long-an-xa-duc-lap-ha,AQI,aqi,49,106,72,30
Hiep Thanh,"Hiep Thanh, Thanh pho Thu Dau Mot, Binh Duong, Vietnam",Thanh pho Thu Dau Mot,Binh Duong,Vietnam,-476137,vietnam/binh-duong/thanh-pho-thu-dau-mot/hiep-thanh,CO,co,271,638,393,30
Hiep Thanh,"Hiep Thanh, Thanh pho Thu Dau Mot, Binh Duong, Vietnam",Thanh pho Thu Dau Mot,Binh Duong,Vietnam,-476137,vietnam/binh-duong/thanh-pho-thu-dau-mot/hiep-thanh,SO2,so2,5,29,13,30
Hiep Thanh,"Hiep Thanh, Thanh pho Thu Dau Mot, Binh Duong, Vietnam",Thanh pho Thu Dau Mot,Binh Duong,Vietnam,-476137,vietnam/binh-duong/thanh-pho-thu-dau-mot/hiep-thanh,NO2,no2,5,25,15,30
Hiep Thanh,"Hiep Thanh, Thanh pho Thu Dau Mot, Binh Duong, Vietnam",Thanh pho Thu Dau Mot,Binh Duong,Vietnam,-476137,vietnam/binh-duong/thanh-pho-thu-dau-mot/hiep-thanh,O3,o3,28,52,43,30
Hiep Thanh,"Hiep Thanh, Thanh pho Thu Dau Mot, Binh Duong, Vietnam",Thanh pho Thu Dau Mot,Binh Duong,Vietnam,-476137,vietnam/binh-duong/thanh-pho-thu-dau-mot/hiep-thanh,PM2.5,pm25,11,40,23,30
Hiep Thanh,"Hiep Thanh, Thanh pho Thu Dau Mot, Binh Duong, Vietnam",Thanh pho Thu Dau Mot,Binh Duong,Vietnam,-476137,vietnam/binh-duong/thanh-pho-thu-dau-mot/hiep-thanh,PM10,pm10,36,75,52,30
Hiep Thanh,"Hiep Thanh, Thanh pho Thu Dau Mot, Binh Duong, Vietnam",Thanh pho Thu Dau Mot,Binh Duong,Vietnam,-476137,vietnam/binh-duong/thanh-pho-thu-dau-mot/hiep-thanh,AQI,aqi,49,109,75,30
Phuoc Hiep,"Phuoc Hiep, Thanh pho Ba Ria, Ba Ria - Vung Tau, Vietnam",Thanh pho Ba Ria,Ba Ria - Vung Tau,Vietnam,14644,vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,CO,co,210,640,325,30
Phuoc Hiep,"Phuoc Hiep, Thanh pho Ba Ria, Ba Ria - Vung Tau, Vietnam",Thanh pho Ba Ria,Ba Ria - Vung Tau,Vietnam,14644,vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,SO2,so2,4,29,11,30
Phuoc Hiep,"Phuoc Hiep, Thanh pho Ba Ria, Ba Ria - Vung Tau, Vietnam",Thanh pho Ba Ria,Ba Ria - Vung Tau,Vietnam,14644,vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,NO2,no2,5,16,11,30
Phuoc Hiep,"Phuoc Hiep, Thanh pho Ba Ria, Ba Ria - Vung Tau, Vietnam",Thanh pho Ba Ria,Ba Ria - Vung Tau,Vietnam,14644,vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,O3,o3,28,48,39,30
Phuoc Hiep,"Phuoc Hiep, Thanh pho Ba Ria, Ba Ria - Vung Tau, Vietnam",Thanh pho Ba Ria,Ba Ria - Vung Tau,Vietnam,14644,vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,PM2.5,pm25,11,30,19,30
Phuoc Hiep,"Phuoc Hiep, Thanh pho Ba Ria, Ba Ria - Vung Tau, Vietnam",Thanh pho Ba Ria,Ba Ria - Vung Tau,Vietnam,14644,vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,PM10,pm10,28,63,44,30
Phuoc Hiep,"Phuoc Hiep, Thanh pho Ba Ria, Ba Ria - Vung Tau, Vietnam",Thanh pho Ba Ria,Ba Ria - Vung Tau,Vietnam,14644,vietnam/ba-ria-vung-tau/thanh-pho-ba-ria/phuoc-hiep,AQI,aqi,48,90,64,30
