slug,station_name,station_address,city,state,country,latitude,longitude,locationId,meta_source,date,year,CO,SO2,NO2,O3,PM2.5,PM10
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,11/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,12/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,13/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,14/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,15/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,16/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,17/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,18/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,19/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,20/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,21/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,22/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,23/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,24/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,25/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,26/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,27/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,28/02/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,01/03/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,02/03/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,03/03/2022,2022,,,,,,
vietnam/ho-chi-minh/ho-chi-minh-city/hem-108-tran-van-quang,Hem 108 Tran Van Quang,"Hem 108 Tran Van Quang, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,10.7799,106.647,-131683,apiserver,04/03/2022,2022,,,,,,
